row,col,tdac_code,tup,mu,sigma
6,3,16,1,59.8,1.59
6,3,24,1,67.97,1.8
6,3,31,1,74.2,1.45
6,3,0,0,49.4,1.62
6,3,8,0,43.05,1.11
6,3,16,0,36.3,1.87
6,3,24,0,29.85,2.08
6,3,31,0,22.11,2.02
6,4,0,1,47.32,3.29
6,4,8,1,57.2,2.91
6,4,16,1,66.96,1.38
6,4,24,1,77.84,2.56
6,4,31,1,87.88,2.97
6,4,0,0,50.66,2.22
6,4,8,0,41.79,1.76
6,4,16,0,31.09,1.26
6,4,24,0,21.16,2.62
6,4,31,0,-147.21,36.62
6,5,0,1,58.7,0.65
6,5,8,1,65.94,1.62
6,5,16,1,72.51,0.89
6,5,24,1,81.6,1.23
6,5,31,1,88.95,1.06
6,5,0,0,60.78,1.2
6,5,8,0,53.45,1.29
6,5,16,0,44.76,0.65
6,5,24,0,36.52,1.8
6,5,31,0,29.0,1.54
6,6,0,1,46.92,0.7
6,6,8,1,52.8,1.39
6,6,16,1,58.67,1.75
6,6,24,1,64.93,1.98
6,6,31,1,71.0,1.32
6,6,0,0,48.29,1.41
6,6,8,0,42.09,1.26
6,6,16,0,35.9,1.82
6,6,24,0,28.89,1.66
6,6,31,0,22.5,1.34
6,7,0,1,49.84,1.76
6,7,8,1,58.7,1.31
6,7,16,1,67.25,2.05
6,7,24,1,76.82,1.59
6,7,31,1,85.9,1.46
6,7,0,0,52.09,1.26
6,7,8,0,42.86,1.01
6,7,16,0,33.79,1.22
6,7,24,0,24.72,2.19
6,7,31,0,-147.21,36.62
7,0,0,1,42.7,1.72
7,0,8,1,48.45,2.25
7,0,16,1,54.74,2.48
7,0,24,1,61.64,0.97
7,0,31,1,66.88,2.19
7,0,0,0,43.44,2.47
7,0,8,0,37.47,2.5
7,0,16,0,30.79,2.27
7,0,24,0,23.62,2.07
7,0,31,0,-147.21,36.62
7,1,0,1,46.71,2.05
7,1,8,1,53.53,1.45
7,1,16,1,61.9,1.65
7,1,24,1,69.1,1.48
7,1,31,1,76.4,1.87
7,1,0,0,48.23,2.22
7,1,8,0,40.09,1.43
7,1,16,0,31.98,2.47
7,1,24,0,23.06,1.62
7,1,31,0,-147.21,36.62
7,2,0,1,57.07,2.63
7,2,8,1,63.93,2.91
7,2,16,1,72.46,2.32
7,2,24,1,80.52,2.04
7,2,31,1,87.54,1.9
7,2,0,0,58.5,1.97
7,2,8,0,51.5,1.51
7,2,16,0,43.04,2.23
7,2,24,0,34.41,1.57
7,2,31,0,26.95,2.28
7,3,0,1,52.41,1.63
7,3,8,1,58.76,2.14
7,3,16,1,67.09,2.16
7,3,24,1,75.3,1.52
7,3,31,1,82.52,1.8
7,3,0,0,53.8,2.05
7,3,8,0,46.31,1.67
7,3,16,0,36.76,1.94
7,3,24,0,28.22,1.21
7,3,31,0,20.08,1.78
7,4,0,1,48.09,1.26
7,4,8,1,55.3,2.91
7,4,16,1,63.33,1.75
7,4,24,1,71.76,1.94
7,4,31,1,79.6,1.84
7,4,0,0,48.69,1.25
7,4,8,0,41.12,2.24
